long,lat,Total Observations,Total Citations,Total Accidents,Total Injuries,Total Fatalities,Total Stops,geometry,Observations per Accident,Accidents per Observation,Observations per Injury,Injuries per Observation,Observations per Fatality,Fatalities per Observation,Stops per Accident,Accidents per Stop,Stops per Injury,Injuries per Stop,Normalized Accidents per Stop,Normalized Stops per Accident,Normalized Total Injuries,Normalized Observations per Fatality,Normalized Stops per Injury,Normalized Injuries per Stop,Normalized Total Fatalities,Normalized Observations per Accident,Normalized Fatalities per Observation,Normalized Total Accidents,Normalized Total Stops,Normalized Observations per Injury,Normalized Injuries per Observation,Normalized Total Citations,Normalized Accidents per Observation,Normalized Total Observations
-77.41,39.18,159,79,1,0,0,103,POINT (-77.41 39.18),159.0,0.006289308176100629,0.0,0.0,0.0,0.0,103.0,0.009708737864077669,0.0,0.0,-0.4302101281625841,1.1302630973088441,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,1.1340188781544749,-0.07130046983401872,-0.22223284004886942,-0.40547781751866957,-0.4416533222668173,-0.3549839154899024,-0.2841079081189508,-0.553111759429181,-0.3807552385646423
-77.405,39.135,74,20,0,0,0,38,POINT (-77.405 39.135),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48334795865026525,-0.5013978064323041,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.5407555079036536,-0.07130046983401872,-0.23275638616484184,-0.48474167211607044,-0.4416533222668173,-0.3549839154899024,-0.350022362870581,-0.6495560850031369,-0.43438714947244006
-77.405,39.14,125,44,0,0,0,67,POINT (-77.405 39.14),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48334795865026525,-0.5013978064323041,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.5407555079036536,-0.07130046983401872,-0.23275638616484184,-0.4493777985264608,-0.4416533222668173,-0.3549839154899024,-0.32320970331059584,-0.6495560850031369,-0.4022080029277614
-77.405,39.145,97,27,5,0,0,51,POINT (-77.405 39.145),19.4,0.05154639175257732,0.0,0.0,0.0,0.0,10.2,0.09803921568627451,0.0,0.0,0.05323993745082906,-0.339815852857938,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.3364119664600832,-0.07130046983401872,-0.18013865558497974,-0.46888890119659027,-0.4416533222668173,-0.3549839154899024,-0.342202003832252,0.14088967614423295,-0.4198749853444477
-77.405,39.175,245,80,0,0,0,159,POINT (-77.405 39.175),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48334795865026525,-0.5013978064323041,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.5407555079036536,-0.07130046983401872,-0.23275638616484184,-0.3371889581732165,-0.4416533222668173,-0.3549839154899024,-0.2829907139706181,-0.6495560850031369,-0.3264923639991057
-77.4,39.135,112,56,0,0,0,77,POINT (-77.40000000000001 39.135),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48334795865026525,-0.5013978064323041,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.5407555079036536,-0.07130046983401872,-0.23275638616484184,-0.4371833593576299,-0.4416533222668173,-0.3549839154899024,-0.3098033735306032,-0.6495560850031369,-0.4104105304783658
-77.4,39.14,47,18,0,0,0,33,POINT (-77.40000000000001 39.14),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48334795865026525,-0.5013978064323041,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.5407555079036536,-0.07130046983401872,-0.23275638616484184,-0.4908388917004859,-0.4416533222668173,-0.3549839154899024,-0.3522567511672464,-0.6495560850031369,-0.45142316823138756
-77.4,39.17,33,11,2,2,0,23,POINT (-77.40000000000001 39.17),16.5,0.06060606060606061,16.5,0.06060606060606061,0.0,0.0,11.5,0.08695652173913043,11.5,0.08695652173913043,-0.007417824717120736,-0.31922207446120504,-0.13875858639711885,-0.17065794835774026,-0.3499696204576666,0.7550589318828468,-0.20458127844877552,-0.36695816595422515,-0.07130046983401872,-0.211709293932897,-0.5030333308693168,-0.3843936698103608,1.6993862055705589,-0.3600771102055754,0.2798165068913465,-0.46025665943973076
-77.395,39.135,66,29,1,0,0,56,POINT (-77.395 39.135),66.0,0.015151515151515152,0.0,0.0,0.0,0.0,56.0,0.017857142857142856,0.0,0.0,-0.3856123061461373,0.38571880142696097,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,0.15443385989406017,-0.07130046983401872,-0.22223284004886942,-0.4627916816121748,-0.4416533222668173,-0.3549839154899024,-0.3399676155355866,-0.417212937029516,-0.43943485873435045
-77.385,39.13,72,35,3,2,0,47,POINT (-77.38500000000001 39.13),24.0,0.041666666666666664,36.0,0.027777777777777776,0.0,0.0,15.666666666666666,0.06382978723404255,23.5,0.0425531914893617,-0.13399498799721238,-0.25321637447167644,-0.13875858639711885,-0.17065794835774026,-0.28536794204956123,0.2360460411497926,-0.20458127844877552,-0.2879593741590304,-0.07130046983401872,-0.20118574781692458,-0.4737666768641226,-0.3167231714527304,0.5866023899961423,-0.3332644506455903,-0.010612428075679607,-0.43564907678791764
