long,lat,Total Stops,Total Citations,Total Accidents,Total Injuries,Total Fatalities,geometry,Stops per Accident,Stops per Injury,Stops per Fatality
-77.4175,39.145,151,158,3,6,0,POINT (-77.4175 39.145),0.019867549668874173,0.039735099337748346,0.0
-77.4175,39.1475,144,96,2,2,0,POINT (-77.4175 39.1475),0.013888888888888888,0.013888888888888888,0.0
-77.4175,39.1525,6,0,0,0,0,POINT (-77.4175 39.1525),0.0,0.0,0.0
-77.4175,39.155,4,2,0,0,0,POINT (-77.4175 39.155),0.0,0.0,0.0
-77.4175,39.1625,1,1,0,0,0,POINT (-77.4175 39.1625),0.0,0.0,0.0
-77.4175,39.165,10,8,0,0,0,POINT (-77.4175 39.165),0.0,0.0,0.0
-77.4175,39.1675,15,7,0,0,0,POINT (-77.4175 39.1675),0.0,0.0,0.0
-77.4175,39.17,12,5,0,0,0,POINT (-77.4175 39.17),0.0,0.0,0.0
-77.4175,39.1725,1,1,0,0,0,POINT (-77.4175 39.1725),0.0,0.0,0.0
-77.4175,39.1825,7,7,1,0,0,POINT (-77.4175 39.1825),0.14285714285714285,0.0,0.0
-77.4175,39.185,13,61,7,7,0,POINT (-77.4175 39.185),0.5384615384615384,0.5384615384615384,0.0
-77.4175,39.225,1,1,0,0,0,POINT (-77.4175 39.225),0.0,0.0,0.0
-77.4175,39.2275,4,4,0,0,0,POINT (-77.4175 39.2275),0.0,0.0,0.0
-77.415,39.1375,1,0,0,0,0,POINT (-77.41500000000001 39.1375),0.0,0.0,0.0
-77.415,39.1425,9,2,0,0,0,POINT (-77.41500000000001 39.1425),0.0,0.0,0.0
-77.415,39.145,138,172,1,1,0,POINT (-77.41500000000001 39.145),0.007246376811594203,0.007246376811594203,0.0
-77.415,39.1475,82,164,0,0,0,POINT (-77.41500000000001 39.1475),0.0,0.0,0.0
-77.415,39.15,39,15,0,0,0,POINT (-77.41500000000001 39.15),0.0,0.0,0.0
-77.415,39.1525,24,9,1,1,0,POINT (-77.41500000000001 39.1525),0.041666666666666664,0.041666666666666664,0.0
-77.415,39.155,11,100,0,0,0,POINT (-77.41500000000001 39.155),0.0,0.0,0.0
-77.415,39.1725,1,0,0,0,0,POINT (-77.41500000000001 39.1725),0.0,0.0,0.0
-77.415,39.175,1,0,0,0,0,POINT (-77.41500000000001 39.175),0.0,0.0,0.0
-77.415,39.1775,1,0,0,0,0,POINT (-77.41500000000001 39.1775),0.0,0.0,0.0
-77.415,39.18,23,39,0,0,0,POINT (-77.41500000000001 39.18),0.0,0.0,0.0
-77.415,39.1825,3,4,0,0,0,POINT (-77.41500000000001 39.1825),0.0,0.0,0.0
-77.415,39.23,7,6,1,1,0,POINT (-77.41500000000001 39.23),0.14285714285714285,0.14285714285714285,0.0
-77.415,39.3875,1,0,0,1,0,POINT (-77.41500000000001 39.3875),0.0,1.0,0.0
-77.415,39.4225,3,9,0,0,0,POINT (-77.41500000000001 39.4225),0.0,0.0,0.0
-77.4125,39.125,4,16,0,0,0,POINT (-77.41249999999999 39.125),0.0,0.0,0.0
-77.4125,39.13,7,12,0,0,0,POINT (-77.41249999999999 39.13),0.0,0.0,0.0
-77.4125,39.1325,78,121,0,0,0,POINT (-77.41249999999999 39.1325),0.0,0.0,0.0
-77.4125,39.135,11,59,0,0,0,POINT (-77.41249999999999 39.135),0.0,0.0,0.0
-77.4125,39.1375,31,34,0,0,0,POINT (-77.41249999999999 39.1375),0.0,0.0,0.0
-77.4125,39.14,3,0,0,0,0,POINT (-77.41249999999999 39.14),0.0,0.0,0.0
-77.4125,39.1425,47,83,1,0,0,POINT (-77.41249999999999 39.1425),0.02127659574468085,0.0,0.0
-77.4125,39.145,139,737,30,28,0,POINT (-77.41249999999999 39.145),0.2158273381294964,0.2014388489208633,0.0
-77.4125,39.155,3,3,0,0,0,POINT (-77.41249999999999 39.155),0.0,0.0,0.0
-77.4125,39.1775,21,45,0,0,0,POINT (-77.41249999999999 39.1775),0.0,0.0,0.0
-77.4125,39.18,120,177,2,4,0,POINT (-77.41249999999999 39.18),0.016666666666666666,0.03333333333333333,0.0
-77.4125,39.2325,1,1,0,0,0,POINT (-77.41249999999999 39.2325),0.0,0.0,0.0
-77.41,39.1275,2,0,0,0,0,POINT (-77.41 39.1275),0.0,0.0,0.0
-77.41,39.1325,7,3,0,0,0,POINT (-77.41 39.1325),0.0,0.0,0.0
-77.41,39.135,1,1,0,0,0,POINT (-77.41 39.135),0.0,0.0,0.0
-77.41,39.1375,28,113,10,0,0,POINT (-77.41 39.1375),0.35714285714285715,0.0,0.0
-77.41,39.14,10,6,0,0,0,POINT (-77.41 39.14),0.0,0.0,0.0
-77.41,39.1425,94,186,0,0,0,POINT (-77.41 39.1425),0.0,0.0,0.0
-77.41,39.145,184,194,3,3,0,POINT (-77.41 39.145),0.016304347826086956,0.016304347826086956,0.0
-77.41,39.1475,1,0,0,0,0,POINT (-77.41 39.1475),0.0,0.0,0.0
-77.41,39.15,2,0,0,0,0,POINT (-77.41 39.15),0.0,0.0,0.0
-77.41,39.155,2,4,2,0,0,POINT (-77.41 39.155),1.0,0.0,0.0
